id,name,state_code,state,spider_prefix
2100436,Alto Alegre do Maranhão,MA,Maranhão,ma_alto_alegre_do_maranhao
2100477,Alto Alegre do Pindaré,MA,Maranhão,ma_alto_alegre_do_pindare
1100379,Alto Alegre dos Parecis,RO,Rondônia,ro_alto_alegre_dos_parecis
5100300,Alto Araguaia,MT,Mato Grosso,mt_alto_araguaia
4200754,Alto Bela Vista,SC,Santa Catarina,sc_alto_bela_vista
5100359,Alto Boa Vista,MT,Mato Grosso,mt_alto_boa_vista
3102050,Alto Caparaó,MG,Minas Gerais,mg_alto_caparao
2400703,Alto do Rodrigues,RN,Rio Grande do Norte,rn_alto_do_rodrigues
4300570,Alto Feliz,RS,Rio Grande do Sul,rs_alto_feliz
5100409,Alto Garças,MT,Mato Grosso,mt_alto_garcas
5200555,Alto Horizonte,GO,Goiás,go_alto_horizonte
3153509,Alto Jequitibá,MG,Minas Gerais,mg_alto_jequitiba
2200301,Alto Longá,PI,Piauí,pi_alto_longa
5100508,Alto Paraguai,MT,Mato Grosso,mt_alto_paraguai
1100403,Alto Paraíso,RO,Rondônia,ro_alto_paraiso
5200605,Alto Paraíso de Goiás,GO,Goiás,go_alto_paraiso_de_goias
4100608,Alto Paraná,PR,Paraná,pr_alto_parana
2100501,Alto Parnaíba,MA,Maranhão,ma_alto_parnaiba
4100707,Alto Piquiri,PR,Paraná,pr_alto_piquiri
3102100,Alto Rio Doce,MG,Minas Gerais,mg_alto_rio_doce
3200359,Alto Rio Novo,ES,Espírito Santo,es_alto_rio_novo
2300705,Alto Santo,CE,Ceará,ce_alto_santo
5100607,Alto Taquari,MT,Mato Grosso,mt_alto_taquari
4100509,Altônia,PR,Paraná,pr_altonia
2200400,Altos,PI,Piauí,pi_altos
3501152,Alumínio,SP,São Paulo,sp_aluminio
1300029,Alvarães,AM,Amazonas,am_alvaraes
3102209,Alvarenga,MG,Minas Gerais,mg_alvarenga
3501202,Álvares Florence,SP,São Paulo,sp_alvares_florence
3501301,Álvares Machado,SP,São Paulo,sp_alvares_machado
3501400,Álvaro de Carvalho,SP,São Paulo,sp_alvaro_de_carvalho
3501509,Alvinlândia,SP,São Paulo,sp_alvinlandia
3102308,Alvinópolis,MG,Minas Gerais,mg_alvinopolis
4300604,Alvorada,RS,Rio Grande do Sul,rs_alvorada
1700707,Alvorada,TO,Tocantins,to_alvorada
1100346,Alvorada D'Oeste,RO,Rondônia,ro_alvorada_doeste
3102407,Alvorada de Minas,MG,Minas Gerais,mg_alvorada_de_minas
2200459,Alvorada do Gurguéia,PI,Piauí,pi_alvorada_do_gurgueia
5200803,Alvorada do Norte,GO,Goiás,go_alvorada_do_norte
4100806,Alvorada do Sul,PR,Paraná,pr_alvorada_do_sul
1400027,Amajari,RR,Roraima,rr_amajari
5000609,Amambai,MS,Mato Grosso do Sul,ms_amambai
1600105,Amapá,AP,Amapá,ap_amapa
2100550,Amapá do Maranhão,MA,Maranhão,ma_amapa_do_maranhao
4100905,Amaporã,PR,Paraná,pr_amapora
2600906,Amaraji,PE,Pernambuco,pe_amaraji
4300638,Amaral Ferrador,RS,Rio Grande do Sul,rs_amaral_ferrador
5200829,Amaralina,GO,Goiás,go_amaralina
2200509,Amarante,PI,Piauí,pi_amarante
2100600,Amarante do Maranhão,MA,Maranhão,ma_amarante_do_maranhao
2901007,Amargosa,BA,Bahia,ba_amargosa
1300060,Amaturá,AM,Amazonas,am_amatura
2901106,Amélia Rodrigues,BA,Bahia,ba_amelia_rodrigues
2901155,América Dourada,BA,Bahia,ba_america_dourada
3501608,Americana,SP,São Paulo,sp_americana
5200852,Americano do Brasil,GO,Goiás,go_americano_do_brasil
3501707,Américo Brasiliense,SP,São Paulo,sp_americo_brasiliense
3501806,Américo de Campos,SP,São Paulo,sp_americo_de_campos
4300646,Ametista do Sul,RS,Rio Grande do Sul,rs_ametista_do_sul
2300754,Amontada,CE,Ceará,ce_amontada
5200902,Amorinópolis,GO,Goiás,go_amorinopolis
2500734,Amparo,PB,Paraíba,pb_amparo
3501905,Amparo,SP,São Paulo,sp_amparo
2800100,Amparo de São Francisco,SE,Sergipe,se_amparo_de_sao_francisco
3102506,Amparo do Serra,MG,Minas Gerais,mg_amparo_do_serra
4101002,Ampére,PR,Paraná,pr_ampere
2700201,Anadia,AL,Alagoas,al_anadia
2901205,Anagé,BA,Bahia,ba_anage
4101051,Anahy,PR,Paraná,pr_anahy
1500701,Anajás,PA,Pará,pa_anajas
2100709,Anajatuba,MA,Maranhão,ma_anajatuba
3502002,Analândia,SP,São Paulo,sp_analandia
1300086,Anamã,AM,Amazonas,am_anama
1701002,Ananás,TO,Tocantins,to_ananas
1500800,Ananindeua,PA,Pará,pa_ananindeua
5201108,Anápolis,GO,Goiás,go_anapolis
1500859,Anapu,PA,Pará,pa_anapu
2100808,Anapurus,MA,Maranhão,ma_anapurus
5000708,Anastácio,MS,Mato Grosso do Sul,ms_anastacio
5000807,Anaurilândia,MS,Mato Grosso do Sul,ms_anaurilandia
3200409,Anchieta,ES,Espírito Santo,es_anchieta
4200804,Anchieta,SC,Santa Catarina,sc_anchieta
2901304,Andaraí,BA,Bahia,ba_andarai
4101101,Andirá,PR,Paraná,pr_andira
2901353,Andorinha,BA,Bahia,ba_andorinha
3102605,Andradas,MG,Minas Gerais,mg_andradas
3502101,Andradina,SP,São Paulo,sp_andradina
4300661,André da Rocha,RS,Rio Grande do Sul,rs_andre_da_rocha
3102803,Andrelândia,MG,Minas Gerais,mg_andrelandia
3502200,Angatuba,SP,São Paulo,sp_angatuba
3102852,Angelândia,MG,Minas Gerais,mg_angelandia
5000856,Angélica,MS,Mato Grosso do Sul,ms_angelica
2601003,Angelim,PE,Pernambuco,pe_angelim
4200903,Angelina,SC,Santa Catarina,sc_angelina
2901403,Angical,BA,Bahia,ba_angical
2200608,Angical do Piauí,PI,Piauí,pi_angical_do_piaui
1701051,Angico,TO,Tocantins,to_angico
2400802,Angicos,RN,Rio Grande do Norte,rn_angicos
3300100,Angra dos Reis,RJ,Rio de Janeiro,rj_angra_dos_reis
2901502,Anguera,BA,Bahia,ba_anguera
4101150,Ângulo,PR,Paraná,pr_angulo
5201207,Anhanguera,GO,Goiás,go_anhanguera
3502309,Anhembi,SP,São Paulo,sp_anhembi
3502408,Anhumas,SP,São Paulo,sp_anhumas
5201306,Anicuns,GO,Goiás,go_anicuns
2200707,Anísio de Abreu,PI,Piauí,pi_anisio_de_abreu
4201000,Anita Garibaldi,SC,Santa Catarina,sc_anita_garibaldi
4201109,Anitápolis,SC,Santa Catarina,sc_anitapolis
1300102,Anori,AM,Amazonas,am_anori
4300703,Anta Gorda,RS,Rio Grande do Sul,rs_anta_gorda
2901601,Antas,BA,Bahia,ba_antas
4101200,Antonina,PR,Paraná,pr_antonina
2300804,Antonina do Norte,CE,Ceará,ce_antonina_do_norte
2200806,Antônio Almeida,PI,Piauí,pi_antonio_almeida
2901700,Antônio Cardoso,BA,Bahia,ba_antonio_cardoso
4201208,Antônio Carlos,SC,Santa Catarina,sc_antonio_carlos
3102902,Antônio Carlos,MG,Minas Gerais,mg_antonio_carlos
3103009,Antônio Dias,MG,Minas Gerais,mg_antonio_dias
2901809,Antônio Gonçalves,BA,Bahia,ba_antonio_goncalves
5000906,Antônio João,MS,Mato Grosso do Sul,ms_antonio_joao
2400901,Antônio Martins,RN,Rio Grande do Norte,rn_antonio_martins
4101309,Antônio Olinto,PR,Paraná,pr_antonio_olinto
4300802,Antônio Prado,RS,Rio Grande do Sul,rs_antonio_prado
3103108,Antônio Prado de Minas,MG,Minas Gerais,mg_antonio_prado_de_minas
3502507,Aparecida,SP,São Paulo,sp_aparecida
2500775,Aparecida,PB,Paraíba,pb_aparecida
3502606,Aparecida d'Oeste,SP,São Paulo,sp_aparecida_doeste
