entity_id,acronym,name,federal_unity,scope,category,slug
4200200,,Agrolândia,SC,municipal,municipality,temp
4200309,,Agronômica,SC,municipal,municipality,temp
1500347,,Água Azul do Norte,PA,municipal,municipality,temp
3100609,,Água Boa,MG,municipal,municipality,temp
5100201,,Água Boa,MT,municipal,municipality,temp
2700102,,Água Branca,AL,municipal,municipality,temp
2500106,,Água Branca,PB,municipal,municipality,temp
2200202,,Água Branca,PI,municipal,municipality,temp
5000203,,Água Clara,MS,municipal,municipality,temp
3100708,,Água Comprida,MG,municipal,municipality,temp
4200408,,Água Doce,SC,municipal,municipality,temp
2100154,,Água Doce do Maranhão,MA,municipal,municipality,temp
3200169,,Água Doce do Norte,ES,municipal,municipality,temp
2900405,,Água Fria,BA,municipal,municipality,temp
5200175,,Água Fria de Goiás,GO,municipal,municipality,temp
5200209,,Água Limpa,GO,municipal,municipality,temp
2400406,,Água Nova,RN,municipal,municipality,temp
2600401,,Água Preta,PE,municipal,municipality,temp
4300059,,Água Santa,RS,municipal,municipality,temp
3500303,,Aguaí,SP,municipal,municipality,temp
3100807,,Aguanil,MG,municipal,municipality,temp
2600500,,Águas Belas,PE,municipal,municipality,temp
3500402,,Águas da Prata,SP,municipal,municipality,temp
4200507,,Águas de Chapecó,SC,municipal,municipality,temp
3500501,,Águas de Lindóia,SP,municipal,municipality,temp
3500550,,Águas de Santa Bárbara,SP,municipal,municipality,temp
3500600,,Águas de São Pedro,SP,municipal,municipality,temp
3100906,,Águas Formosas,MG,municipal,municipality,temp
4200556,,Águas Frias,SC,municipal,municipality,temp
5200258,,Águas Lindas de Goiás,GO,municipal,municipality,temp
4200606,,Águas Mornas,SC,municipal,municipality,temp
3101003,,Águas Vermelhas,MG,municipal,municipality,temp
4300109,,Agudo,RS,municipal,municipality,temp
3500709,,Agudos,SP,municipal,municipality,temp
4100301,,Agudos do Sul,PR,municipal,municipality,temp
3200136,,Águia Branca,ES,municipal,municipality,temp
2500205,,Aguiar,PB,municipal,municipality,temp
1700301,,Aguiarnópolis,TO,municipal,municipality,temp
3101102,,Aimorés,MG,municipal,municipality,temp
2900603,,Aiquara,BA,municipal,municipality,temp
2300408,,Aiuaba,CE,municipal,municipality,temp
3101201,,Aiuruoca,MG,municipal,municipality,temp
4300208,,Ajuricaba,RS,municipal,municipality,temp
3101300,,Alagoa,MG,municipal,municipality,temp
2500304,,Alagoa Grande,PB,municipal,municipality,temp
2500403,,Alagoa Nova,PB,municipal,municipality,temp
2500502,,Alagoinha,PB,municipal,municipality,temp
2600609,,Alagoinha,PE,municipal,municipality,temp
2200251,,Alagoinha do Piauí,PI,municipal,municipality,temp
2900702,,Alagoinhas,BA,municipal,municipality,temp
3500758,,Alambari,SP,municipal,municipality,temp
3101409,,Albertina,MG,municipal,municipality,temp
2100204,,Alcântara,MA,municipal,municipality,temp
2300507,,Alcântaras,CE,municipal,municipality,temp
2500536,,Alcantil,PB,municipal,municipality,temp
5000252,,Alcinópolis,MS,municipal,municipality,temp
2900801,,Alcobaça,BA,municipal,municipality,temp
2100303,,Aldeias Altas,MA,municipal,municipality,temp
4300307,,Alecrim,RS,municipal,municipality,temp
3200201,,Alegre,ES,municipal,municipality,temp
4300406,,Alegrete,RS,municipal,municipality,temp
2200277,,Alegrete do Piauí,PI,municipal,municipality,temp
4300455,,Alegria,RS,municipal,municipality,temp
3101508,,Além Paraíba,MG,municipal,municipality,temp
1500404,,Alenquer,PA,municipal,municipality,temp
2400505,,Alexandria,RN,municipal,municipality,temp
5200308,,Alexânia,GO,municipal,municipality,temp
3101607,,Alfenas,MG,municipal,municipality,temp
3200300,,Alfredo Chaves,ES,municipal,municipality,temp
3500808,,Alfredo Marcondes,SP,municipal,municipality,temp
3101631,,Alfredo Vasconcelos,MG,municipal,municipality,temp
4200705,,Alfredo Wagner,SC,municipal,municipality,temp
2500577,,Algodão de Jandaíra,PB,municipal,municipality,temp
2500601,,Alhandra,PB,municipal,municipality,temp
2600708,,Aliança,PE,municipal,municipality,temp
1700350,,Aliança do Tocantins,TO,municipal,municipality,temp
2900900,,Almadina,BA,municipal,municipality,temp
1700400,,Almas,TO,municipal,municipality,temp
1500503,,Almeirim,PA,municipal,municipality,temp
3101706,,Almenara,MG,municipal,municipality,temp
2400604,,Almino Afonso,RN,municipal,municipality,temp
4100400,,Almirante Tamandaré,PR,municipal,municipality,temp
4300471,,Almirante Tamandaré do Sul,RS,municipal,municipality,temp
5200506,,Aloândia,GO,municipal,municipality,temp
3101805,,Alpercata,MG,municipal,municipality,temp
4300505,,Alpestre,RS,municipal,municipality,temp
3101904,,Alpinópolis,MG,municipal,municipality,temp
5100250,,Alta Floresta,MT,municipal,municipality,temp
1100015,,Alta Floresta D'Oeste,RO,municipal,municipality,temp
3500907,,Altair,SP,municipal,municipality,temp
1500602,,Altamira,PA,municipal,municipality,temp
2100402,,Altamira do Maranhão,MA,municipal,municipality,temp
4100459,,Altamira do Paraná,PR,municipal,municipality,temp
2300606,,Altaneira,CE,municipal,municipality,temp
3102001,,Alterosa,MG,municipal,municipality,temp
2600807,,Altinho,PE,municipal,municipality,temp
3501004,,Altinópolis,SP,municipal,municipality,temp
1400050,,Alto Alegre,RR,municipal,municipality,temp
