UF,Nome_UF,Mesorregião Geográfica,Nome_Mesorregião,Microrregião Geográfica,Nome_Microrregião,Município,Código Município Completo,Nome_Município
31,Minas Gerais,03,Jequitinhonha,011,Capelinha,35456,3135456,Jenipapo de Minas
31,Minas Gerais,12,Zona da Mata,060,Ponte Nova,35506,3135506,Jequeri
31,Minas Gerais,02,Norte de Minas,006,Pirapora,35605,3135605,Jequitaí
31,Minas Gerais,07,Metropolitana de Belo Horizonte,027,Sete Lagoas,35704,3135704,Jequitibá
31,Minas Gerais,03,Jequitinhonha,014,Almenara,35803,3135803,Jequitinhonha
31,Minas Gerais,10,Sul/Sudoeste de Minas,054,São Lourenço,35902,3135902,Jesuânia
31,Minas Gerais,03,Jequitinhonha,014,Almenara,36009,3136009,Joaíma
31,Minas Gerais,08,Vale do Rio Doce,039,Ipatinga,36108,3136108,Joanésia
31,Minas Gerais,07,Metropolitana de Belo Horizonte,031,Itabira,36207,3136207,João Monlevade
31,Minas Gerais,01,Noroeste de Minas,002,Paracatu,36306,3136306,João Pinheiro
31,Minas Gerais,06,Central Mineira,025,Curvelo,36405,3136405,Joaquim Felício
31,Minas Gerais,03,Jequitinhonha,014,Almenara,36504,3136504,Jordânia
31,Minas Gerais,03,Jequitinhonha,011,Capelinha,36520,3136520,José Gonçalves de Minas
31,Minas Gerais,08,Vale do Rio Doce,036,Peçanha,36553,3136553,José Raydan
31,Minas Gerais,02,Norte de Minas,008,Grão Mogol,36579,3136579,Josenópolis
31,Minas Gerais,07,Metropolitana de Belo Horizonte,030,Belo Horizonte,36652,3136652,Juatuba
31,Minas Gerais,12,Zona da Mata,065,Juiz de Fora,36702,3136702,Juiz de Fora
31,Minas Gerais,02,Norte de Minas,007,Montes Claros,36801,3136801,Juramento
31,Minas Gerais,10,Sul/Sudoeste de Minas,048,São Sebastião do Paraíso,36900,3136900,Juruaia
31,Minas Gerais,02,Norte de Minas,003,Januária,36959,3136959,Juvenília
31,Minas Gerais,04,Vale do Mucuri,015,Teófilo Otoni,37007,3137007,Ladainha
31,Minas Gerais,01,Noroeste de Minas,002,Paracatu,37106,3137106,Lagamar
31,Minas Gerais,06,Central Mineira,026,Bom Despacho,37205,3137205,Lagoa da Prata
31,Minas Gerais,02,Norte de Minas,006,Pirapora,37304,3137304,Lagoa dos Patos
31,Minas Gerais,11,Campo das Vertentes,058,São João Del Rei,37403,3137403,Lagoa Dourada
31,Minas Gerais,05,Triângulo Mineiro/Alto Paranaíba,020,Patos de Minas,37502,3137502,Lagoa Formosa
31,Minas Gerais,01,Noroeste de Minas,002,Paracatu,37536,3137536,Lagoa Grande
31,Minas Gerais,07,Metropolitana de Belo Horizonte,030,Belo Horizonte,37601,3137601,Lagoa Santa
31,Minas Gerais,12,Zona da Mata,061,Manhuaçu,37700,3137700,Lajinha
31,Minas Gerais,10,Sul/Sudoeste de Minas,054,São Lourenço,37809,3137809,Lambari
31,Minas Gerais,12,Zona da Mata,062,Viçosa,37908,3137908,Lamim
31,Minas Gerais,12,Zona da Mata,066,Cataguases,38005,3138005,Laranjal
31,Minas Gerais,02,Norte de Minas,006,Pirapora,38104,3138104,Lassance
31,Minas Gerais,11,Campo das Vertentes,057,Lavras,38203,3138203,Lavras
31,Minas Gerais,06,Central Mineira,026,Bom Despacho,38302,3138302,Leandro Ferreira
31,Minas Gerais,03,Jequitinhonha,011,Capelinha,38351,3138351,Leme do Prado
31,Minas Gerais,12,Zona da Mata,066,Cataguases,38401,3138401,Leopoldina
31,Minas Gerais,10,Sul/Sudoeste de Minas,055,Andrelândia,38500,3138500,Liberdade
31,Minas Gerais,12,Zona da Mata,065,Juiz de Fora,38609,3138609,Lima Duarte
31,Minas Gerais,05,Triângulo Mineiro/Alto Paranaíba,021,Frutal,38625,3138625,Limeira do Oeste
31,Minas Gerais,02,Norte de Minas,007,Montes Claros,38658,3138658,Lontra
31,Minas Gerais,12,Zona da Mata,061,Manhuaçu,38674,3138674,Luisburgo
31,Minas Gerais,02,Norte de Minas,007,Montes Claros,38682,3138682,Luislândia
31,Minas Gerais,11,Campo das Vertentes,057,Lavras,38708,3138708,Luminárias
31,Minas Gerais,06,Central Mineira,026,Bom Despacho,38807,3138807,Luz
31,Minas Gerais,04,Vale do Mucuri,016,Nanuque,38906,3138906,Machacalis
31,Minas Gerais,10,Sul/Sudoeste de Minas,049,Alfenas,39003,3139003,Machado
31,Minas Gerais,11,Campo das Vertentes,058,São João Del Rei,39102,3139102,Madre de Deus de Minas
31,Minas Gerais,04,Vale do Mucuri,015,Teófilo Otoni,39201,3139201,Malacacheta
31,Minas Gerais,02,Norte de Minas,004,Janaúba,39250,3139250,Mamonas
31,Minas Gerais,02,Norte de Minas,003,Januária,39300,3139300,Manga
31,Minas Gerais,12,Zona da Mata,061,Manhuaçu,39409,3139409,Manhuaçu
31,Minas Gerais,12,Zona da Mata,061,Manhuaçu,39508,3139508,Manhumirim
31,Minas Gerais,08,Vale do Rio Doce,038,Mantena,39607,3139607,Mantena
31,Minas Gerais,12,Zona da Mata,065,Juiz de Fora,39805,3139805,Mar de Espanha
31,Minas Gerais,07,Metropolitana de Belo Horizonte,027,Sete Lagoas,39706,3139706,Maravilhas
31,Minas Gerais,10,Sul/Sudoeste de Minas,056,Itajubá,39904,3139904,Maria da Fé
31,Minas Gerais,07,Metropolitana de Belo Horizonte,033,Ouro Preto,40001,3140001,Mariana
31,Minas Gerais,08,Vale do Rio Doce,037,Governador Valadares,40100,3140100,Marilac
31,Minas Gerais,07,Metropolitana de Belo Horizonte,030,Belo Horizonte,40159,3140159,Mário Campos
31,Minas Gerais,12,Zona da Mata,065,Juiz de Fora,40209,3140209,Maripá de Minas
31,Minas Gerais,08,Vale do Rio Doce,039,Ipatinga,40308,3140308,Marliéria
31,Minas Gerais,10,Sul/Sudoeste de Minas,056,Itajubá,40407,3140407,Marmelópolis
31,Minas Gerais,06,Central Mineira,026,Bom Despacho,40506,3140506,Martinho Campos
31,Minas Gerais,12,Zona da Mata,061,Manhuaçu,40530,3140530,Martins Soares
31,Minas Gerais,03,Jequitinhonha,014,Almenara,40555,3140555,Mata Verde
31,Minas Gerais,08,Vale do Rio Doce,035,Guanhães,40605,3140605,Materlândia
31,Minas Gerais,07,Metropolitana de Belo Horizonte,030,Belo Horizonte,40704,3140704,Mateus Leme
31,Minas Gerais,08,Vale do Rio Doce,037,Governador Valadares,71501,3171501,Mathias Lobato
31,Minas Gerais,12,Zona da Mata,065,Juiz de Fora,40803,3140803,Matias Barbosa
31,Minas Gerais,02,Norte de Minas,003,Januária,40852,3140852,Matias Cardoso
31,Minas Gerais,12,Zona da Mata,061,Manhuaçu,40902,3140902,Matipó
31,Minas Gerais,02,Norte de Minas,004,Janaúba,41009,3141009,Mato Verde
31,Minas Gerais,07,Metropolitana de Belo Horizonte,027,Sete Lagoas,41108,3141108,Matozinhos
31,Minas Gerais,05,Triângulo Mineiro/Alto Paranaíba,020,Patos de Minas,41207,3141207,Matutina
31,Minas Gerais,09,Oeste de Minas,042,Piuí,41306,3141306,Medeiros
31,Minas Gerais,03,Jequitinhonha,013,Pedra Azul,41405,3141405,Medina
31,Minas Gerais,08,Vale do Rio Doce,038,Mantena,41504,3141504,Mendes Pimentel
31,Minas Gerais,12,Zona da Mata,064,Ubá,41603,3141603,Mercês
31,Minas Gerais,08,Vale do Rio Doce,039,Ipatinga,41702,3141702,Mesquita
31,Minas Gerais,03,Jequitinhonha,011,Capelinha,41801,3141801,Minas Novas
31,Minas Gerais,10,Sul/Sudoeste de Minas,055,Andrelândia,41900,3141900,Minduri
31,Minas Gerais,02,Norte de Minas,007,Montes Claros,42007,3142007,Mirabela
31,Minas Gerais,12,Zona da Mata,063,Muriaé,42106,3142106,Miradouro
31,Minas Gerais,12,Zona da Mata,063,Muriaé,42205,3142205,Miraí
31,Minas Gerais,02,Norte de Minas,003,Januária,42254,3142254,Miravânia
31,Minas Gerais,07,Metropolitana de Belo Horizonte,032,Itaguara,42304,3142304,Moeda
31,Minas Gerais,06,Central Mineira,026,Bom Despacho,42403,3142403,Moema
31,Minas Gerais,06,Central Mineira,025,Curvelo,42502,3142502,Monjolos
31,Minas Gerais,10,Sul/Sudoeste de Minas,050,Varginha,42601,3142601,Monsenhor Paulo
31,Minas Gerais,02,Norte de Minas,003,Januária,42700,3142700,Montalvânia
31,Minas Gerais,05,Triângulo Mineiro/Alto Paranaíba,018,Uberlândia,42809,3142809,Monte Alegre de Minas
31,Minas Gerais,02,Norte de Minas,004,Janaúba,42908,3142908,Monte Azul
31,Minas Gerais,10,Sul/Sudoeste de Minas,048,São Sebastião do Paraíso,43005,3143005,Monte Belo
31,Minas Gerais,05,Triângulo Mineiro/Alto Paranaíba,019,Patrocínio,43104,3143104,Monte Carmelo
31,Minas Gerais,03,Jequitinhonha,014,Almenara,43153,3143153,Monte Formoso
31,Minas Gerais,10,Sul/Sudoeste de Minas,048,São Sebastião do Paraíso,43203,3143203,Monte Santo de Minas
31,Minas Gerais,10,Sul/Sudoeste de Minas,051,Poços de Caldas,43401,3143401,Monte Sião
31,Minas Gerais,02,Norte de Minas,007,Montes Claros,43302,3143302,Montes Claros
31,Minas Gerais,02,Norte de Minas,005,Salinas,43450,3143450,Montezuma
31,Minas Gerais,06,Central Mineira,024,Três Marias,43500,3143500,Morada Nova de Minas
31,Minas Gerais,06,Central Mineira,025,Curvelo,43609,3143609,Morro da Garça
31,Minas Gerais,07,Metropolitana de Belo Horizonte,028,Conceição do Mato Dentro,43708,3143708,Morro do Pilar
31,Minas Gerais,10,Sul/Sudoeste de Minas,052,Pouso Alegre,43807,3143807,Munhoz
31,Minas Gerais,12,Zona da Mata,063,Muriaé,43906,3143906,Muriaé
31,Minas Gerais,08,Vale do Rio Doce,041,Aimorés,44003,3144003,Mutum
31,Minas Gerais,10,Sul/Sudoeste de Minas,048,São Sebastião do Paraíso,44102,3144102,Muzambinho
31,Minas Gerais,08,Vale do Rio Doce,037,Governador Valadares,44201,3144201,Nacip Raydan
